date,instrument,horizon_days,question,p,check_date,outcome,notes
2026-08-03,XAIR,30,XAIR closes above 6.33 on 2026-09-02,0.47,2026-09-02,0,"[insider] Fresh 2-insider $27.7M cluster in a sub-$7 name. Prior says clusters are noise until our ledger says otherwise; micro-cap 30d drift is close to a coin flip and slightly negative after the Form 4 lag prices it in. | DEFERRED [insider] 2026-09-02 08:35 PT: check date is TODAY and the US session is OPEN (XAIR's tape carries a live 2026-09-02 bar with no later bar behind it). Resolving now would record a mark, not a result (Firm Brain §9); the council KEPT this deferral behaviour on 09-01. Resolves on the next run, off the settled 09-02 close. | [insider] RESOLVED 2026-09-03: XAIR 2026-09-02 close 3.62 < 6.33 -> NO. Settled by S9: the name's own tape carries a later 2026-09-03 bar, so the 09-02 bar is closed; the 09-03 bar itself is LIVE (US market open at scoring time) and was not used for anything."
2026-08-04,HCWB,10,HCWB closes above 3.60 on 2026-08-14,0.46,2026-08-14,0,"[insider] Fresh 2-insider $0.08M cluster. Tiny dollar size for a micro-cap, and the stock already ran 3.20 -> 3.60 (+12.5%) in the two sessions since the Form 4s were filed, so the cluster is public and partly priced. Micro-cap 10d drift is a coin flip at best; slight tilt down for the run-up. [RESOLVED 2026-08-16: HCWB closed 2.68 on the 2026-08-14 check date, BELOW the 3.60 anchor -> NO (outcome 0). Source Yahoo daily chart, fetched 2026-08-16; the series is demonstrably NOT frozen — 3.27 / 3.145 / 2.925 / 2.68 on the four sessions into the check — which matters in this lab, where WBHC and NWPP were both priced off quotes that had stopped moving (INS-004). Scored 2 days late: the check date fell on a Friday and nothing ran the scoring pass over the weekend, which is FCST-001 exactly. THE CALL WAS GOOD. p=0.46 leaned against the anchor and the anchor failed, and the stated reason held up: a $0.08M two-insider cluster in a micro-cap that had already run +12.5% on the Form 4s was called public and partly priced, and the stock gave back the entire run and more (-25.6% from 3.60). First scored row in this file.]"
2026-08-05,FUNC,14,FUNC closes above 44.70 on 2026-08-19,0.52,2026-08-19,0,"[insider] Reference = last complete daily close (2026-08-04, 44.70); run fired 08:27 PDT so today's bar is intraday. Fresh 4-insider cluster but the DEDUPLICATED total is $8,076.83 across four people at a small community bank — sizes of 113 to 3,373 dollars, i.e. comp-plan/DRIP scale, not conviction. Treating this as economically indistinguishable from no cluster, so p sits at roughly the 10-trading-day up-close base rate. | RESOLVED 2026-08-20 [insider]: scored off the SETTLED 2026-08-19 close, one morning late exactly as the 08-19 brief said it would be (SCORE-001 deferral, FCST-001's single morning of grace, now spent). Yahoo FUNC daily bar 2026-08-19 close = 43.59, regularMarketTime 20:00:01 UTC = settled. 43.59 is NOT above 44.70 -> NO -> outcome 0. p was 0.52. The row's own thesis was that a 4-insider cluster deduplicating to $8,076.83 across four people at a small community bank is economically indistinguishable from no cluster, so p sat at the base rate; the stock then fell -2.48% over the ten sessions. Nothing here is evidence for or against the cluster hypothesis at n=1 -- it is one row, priced at the base rate, that went down."
2026-08-06,GBFH,14,GBFH closes above 20.39 on 2026-08-20,0.51,2026-08-20,1,"[insider] Reference = last COMPLETE daily close 2026-08-05 (20.39); run fired 08:28 PDT = 11:28 ET, mid-session, so the 08-06 bar is intraday and unusable. First cluster logged since the 08-05 dedup fix, so $1.22M is a real deduplicated open-market figure rather than a raw-row sum -- but the lab's own event study re-ran today at 748 events / 669 mature and again found NO significant edge at any horizon (week-clustered |t| < 2.67 at all five). That null is the prior I am forced to price off, so p sits at roughly the 14-day up-close base rate. GBFH also fell -4.8% on 08-05 into this reference, which cuts both ways and I claim no read on it. || RESOLVED 2026-08-21 off the SETTLED 2026-08-20 close: GBFH 20.75 > 20.39 -> YES. Deferred one day by SCHED-001 (this lab fires 11:2x ET with the US session live, so no US-daily row can ever resolve on its own check date); resolved on the first run at which a settled close existed, exactly as the 08-20 brief said it would be."
2026-08-07,BHRB,14,BHRB closes above 73.76 on 2026-08-21,0.50,2026-08-21,0,"[insider] [fund] Reference = last COMPLETE daily close 2026-08-06 (73.76); run fired 08:35 PDT = 11:35 ET, mid-session, so today's bar is intraday and unusable. Fresh 2-insider $80.6K open-market cluster in a community bank — small dollars but genuine open-market buying, not placement (other_value absent). Deliberately 0.50: this lab's own event study has now returned the honest null three times (773 events, 669 mature, clustered t +1.28 vs Bonferroni 2.67), so I have no basis to tilt off a cluster at all, and the stock is drifting mildly lower (74.12 -> 73.76 -> 73.33 intraday). Writing 0.50 is a real statement of no view, not a dodge. | RESOLVED 2026-08-23 by resolve_forecasts.py off close 71.55 on 2026-08-21"
2026-08-10,BRVE,14,BRVE closes above 30.00 on 2026-08-24,0.52,2026-08-24,0,"[insider] [fund] Reference = last COMPLETE daily close 2026-08-07 (30.00); run fired 08:28 PDT with the US session already open, so today's 29.885 print is intraday and unusable. Subject is the largest cluster this feed has ever carried: 7 insiders, $69.4M, and the first time the biggest name in the feed is an actual resolvable ticker rather than the Vista company-name string. If cluster size ever means anything, this is the observation where it should show. Against that, the standing prior is five re-runs of the event study and five nulls (clustered t +1.16 today vs a 2.67 Bonferroni bar), so the honest p is the unconditional 14-day drift, not a cluster premium. 0.52 is that drift with a hair of size tilt and nothing more. New check date - 08-14/08-19/08-20/08-21/09-02 are already pending. || RESOLVED 2026-08-25 [insider]: resolved off the SETTLED 2026-08-24 daily bar (check_date), not off today's live print -- run fired 08:28 PDT = 11:28 ET with the US session open. Yahoo BRVE dated daily close 2026-08-24 = 27.50 (prior bars 08-20 27.36, 08-21 27.58). 27.50 is NOT above 30.00 -> NO -> outcome 0. p was 0.52, i.e. the row leaned marginally above and BRVE never got near the level: it spent the whole 14-day window between roughly 27 and 28.5 and would have needed +9% to clear. That is the lesson, not the miss -- the threshold was set 8.7% above the reference and the p was still filed at the unconditional near-coin-flip, which is internally inconsistent. A strike that far out of the money deserved a p well below 0.5, and this book should price the DISTANCE to the threshold, not just the direction. This row is resolved THREE runs after it fell due (08-24 check_date, held 08-24 for SCHED-001, cleared today off the settled bar)."
2026-08-11,ELAN,14,ELAN closes above 22.28 on 2026-08-25,0.51,2026-08-25,1,"[insider] [fund] Reference = last COMPLETE daily close 2026-08-10 (22.28); run fired 08:35 PDT = 11:35 ET, mid-session, so today's bar is intraday and unusable. Subject is ELAN, the only name in today's eight fresh clusters that is a liquid mid-cap with a real 64-bar history — BLSM and LTGO carry 2 and 3 daily bars total (brand-new listings, no base rate exists for them) and the rest are micro-caps or community banks at $5K-$400K of buying. Prior is unchanged and it is the honest null: this lab's own event study re-ran today at 909 events (669 mature) and again found NO significant edge at any horizon after market adjustment and cluster-robust inference (all week-clustered |t| < 2.67 vs the Bonferroni bar; the naive t hits +3.60 but assumes 909 independent events across only 56 weeks, and clustered by week it collapses to +1.31). That is six re-runs, six nulls, so I have no basis to tilt off cluster membership at all. 0.51 is the unconditional 14-day up-close drift and nothing else. New check date — 08-14/08-19/08-20/08-21/08-24/09-02 are already pending. | resolved [insider] 2026-08-26 off the SETTLED 08-25 close: ELAN 25.09 > 22.28 -> YES."
2026-08-12,AMRC,14,AMRC closes above 25.89 on 2026-08-26,0.51,2026-08-26,0,"[insider] [fund] Reference = last COMPLETE daily close 2026-08-11 (25.89); run fired 08:26 PDT = 11:26 ET, mid-session, so today's 27.17 print is intraday and unusable as a reference. Subject is AMRC, the most liquid name in today's eight fresh clusters with a full 64-bar history — the rest are a non-traded BDC that has no quote at all (Vista Credit, $6.23M, logged by CIK string), AXIA3 which Yahoo 404s, and a spread of small clusters from $0.41M (CC, 5 insiders) down to $0.13M (FEMY, and that one is non-open-market: total_value 0 with other_value 134,000). Prior is unchanged and it is the honest null: today's collector re-ran the event study at 887 events (669 mature) and again found NO significant edge at any horizon after market adjustment and cluster-robust inference — naive t +3.46 at the best horizon collapses to +1.25 when clustered by week against a 2.67 Bonferroni bar. That is seven re-runs, seven nulls, so cluster membership earns no tilt. 0.51 is the unconditional 14-day up-close drift and nothing else. New check date: 08-13/14/19/20/21/24/25 and 09-02 are already pending, and spreading across days is the only thing that makes the sample size real. || RESOLVED 2026-08-27 [insider], ONE DAY LATE AND THE LATENESS IS THE POINT: AMRC 2026-08-26 settled close 22.16 (Yahoo daily bar, no split events in the window; the 25.89 anchor is the 08-11 settled close, unadjusted) vs threshold 25.89 -> NOT above -> NO -> outcome 0. p was 0.51, a near-coin-flip, and the name fell -14.4% from the anchor over the window (28.50 high on 08-17, then six of seven sessions lower). WHY IT WAS LATE: the 08-26 run fired at ~08:20 PT = 11:20 ET, mid-session, so the 08-26 close it needed did not exist yet. This is structural, not an oversight -- every row this book writes with a same-day check_date is unresolvable on the morning of that date and must resolve on the NEXT run. The catch-up rule caught it, which is what the catch-up rule is for."
2026-08-13,MTDR,14,MTDR closes below 51.60 on 2026-08-27,0.48,2026-08-27,0,"[insider] [fund] Reference = MTDR's latest settled daily close 51.60 (Yahoo, 3mo/1d, run 20:20 PDT). SHAPE IS DELIBERATE: all 8 prior rows in this book are 'closes above' questions, the same monoculture the India lab flagged in its 08-12/08-13 lessons — a shape whose base rate is above 50% in a drifting tape, so a book made only of them measures drift, not judgement. This is the mirror. Subject chosen for liquidity: of today's 15 clusters, MTDR is a real mid-cap E&P with full price history, unlike the three non-traded funds (CIK2089975, CIK1885551, CIK1777677) and PNAQ, which have no quote at all. Two-sided: the standing lab verdict is NO insider edge (669 mature events, week-clustered |t|<2.67 at all five horizons, sixth null re-run today), so the $0.24M cluster is not a reason to tilt either way; Brent fell -2.17% today, which argues down for an E&P, but a 2-insider $240k cluster is small and one oil session is not a 14-day view. 0.48 is the unconditional 14-day down-close rate, nothing more. RESOLUTION RULE, mechanical: Yahoo chart 3mo/1d for MTDR; YES iff the close on 2026-08-27 (or the first close after it) is strictly below 51.60. || NOT RESOLVED 2026-08-27 [insider] -- DEFERRED, NOT SKIPPED. check_date is today and this run fired 08:25 PT = 11:25 ET with the US session open; MTDR prints 55.16 intraday against a 51.60 threshold, but an intraday print is not a close and resolving off one would be fabricating the answer to the lab's own question. Resolves on the next run off the settled 2026-08-27 close. Same structural cause as the AMRC row above. || RESOLVED 2026-08-28 [insider]: MTDR settled 2026-08-27 close = 56.74 (Yahoo daily bars: 08-25 55.55, 08-26 55.25, 08-27 56.74, 08-28 56.37 intraday). The question asked for a close BELOW 51.60; 56.74 is 10.0% ABOVE it -> NO -> outcome 0. p was 0.48, i.e. this row leaned marginally toward 'below' and the name never got close. DEFERRED-AND-RESOLVED, as written: yesterday's run refused to score this off a 55.16 mid-session print and said it would resolve off the settled bar. It did, and the answer is the same one the live print implied -- which is the point of the discipline, not an argument against it: it would have been indistinguishable from luck if the bar had closed the other way."
2026-08-14,BORR,14,BORR closes below 4.04 on 2026-08-28,0.49,2026-08-28,0,"[insider] [fund] Reference = BORR's last COMPLETE daily close 4.04 (2026-08-13, Yahoo 1mo/1d); the run fired 08:28 PDT = 11:28 ET with the US session open, so today's 4.41 print is an IN-PROGRESS bar and unusable as a reference. Subject is BORR because it is the only priceable cluster in today's feed — the other five new clusters (HPS Real Assets $11.0M, AXIA3 $0.88M, two Fundrise funds, PNAQ) have no quote anywhere and were recorded as INS-007 disclosed exclusions rather than logged as open rows. SHAPE: a 'below' question, the second in this book against nine 'above' rows. The 08-13 lesson fixed the monoculture once; one mirror in nine is not a balanced book, so the fix continues here rather than reverting. Two-sided: BORR is up +9.2% on the in-progress bar and the cluster is $6.5M from 2 insiders, the second-largest priceable cluster this feed has carried, which argues against a lower close; against that the standing lab verdict is unchanged and is the honest null — today's collector re-ran the event study at 928 events (669 mature) and again found NO significant edge at any horizon after market adjustment and cluster-robust inference (all week-clustered |t| < 2.67 vs the Bonferroni bar; naive t +2.35 collapses to +1.18 clustered by week). That is eight re-runs, eight nulls, so cluster size earns no tilt whatsoever, and a $4 offshore driller that just gapped 9% has more two-week variance than direction. 0.49 is the unconditional 14-day down-close rate and nothing more. RESOLUTION RULE, mechanical: Yahoo chart 3mo/1d for BORR; YES iff the close on 2026-08-28 (or the first close after it) is strictly below 4.04. New check date — 08-24/25/26/27 are already pending. | RESOLVED 2026-08-29 by resolve_forecasts.py off close 4.45 on 2026-08-28"
